momentum,mean_performance,con_pro_win
0.20820500290824184,-0.1526672827549836,2
0.35734305690010537,0.08886588392260808,2
0.27478367142152904,-0.0934800302540495,2
0.3889390435343321,0.0686948736882518,2
0.288597900451574,-0.1604013979881957,1
0.4331156194754595,0.08937096190745969,2
0.33497531599201663,-0.189891254079001,0
0.32023129631703356,0.1802192819105037,3
0.24996208348070634,-0.06764020942796989,2
0.38160879653303964,0.039755392011703305,2
0.2990494110544633,-0.07441049270823702,2
0.40644287698456966,0.1117199976365586,3
0.3165407519939936,-0.10460196049209872,2
0.38924195270969103,0.09721898397382533,4
0.28126765345028154,-0.006672029832533621,1
0.40673329364922123,0.10786162863415658,4
0.26377631251075134,-0.09406566137518227,1
0.40673329364922123,0.05583303585003968,4
0.26377631251075134,-0.059885872778554006,1
0.39450458172915737,-0.022679327243513597,3
0.236959718824712,-0.069736212575506,2
0.36398609690906725,0.05135430842617589,3
0.29862763570536965,-0.0889741320564558,2
0.441294200179188,0.007367165820615529,4
0.3164093933095515,-0.07090397625353612,3
0.40816267285019464,0.14297377132561817,3
0.34481442417677355,-0.11386347956227759,3
0.40374817173631516,0.1252006452781955,4
0.3206079529284358,0.04186490224338568,2
0.3927283203148301,0.10763275455096832,2
0.28562527104937535,-0.04383731600966628,2
0.39949022649752686,0.04823324158810277,1
0.3169308410189505,-0.07252857432289608,1
0.4421060645532387,0.0657648461513968,3
0.33413176529382926,-0.0737878432424684,0
0.4415252312239356,0.070320863353834,1
0.2837741164993083,-0.0675866623460055,3
0.3930187369794817,-0.019191030652108587,3
0.287766842264094,-0.08677253393632878,2
0.432574977952631,0.1434037634230769,4
0.32460067869322157,-0.089873609123752,1
0.43228456128797943,0.10149520893126057,3
0.3071093377536913,-0.09986542536022289,1
0.45006631889216125,-0.051569984537447294,4
0.32460067869322157,-0.07218167132780048,1
0.41450280368379766,0.1001226079198087,2
