scores,serve,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,rally_count,p1_distance_run,p2_distance_run,speed_mph,serve_width,serve_depth,return_depth
-2,2,4,6,0,0,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,0,30,13.854800000000001,13.0689,118.1,4.0,1.5,0.4
-2,1,6,10,0,0,1,1,0,0,2,0,0,0,0,0,0,3,0,1,0,2,24,13.872499999999997,15.863666666666665,116.5,2.8333333333333335,1.8333333333333333,0.3333333333333333
-2,2,8,14,0,1,0,1,0,0,1,1,1,2,0,2,0,0,0,0,0,0,48,37.35633333333333,34.35816666666666,107.33333333333333,3.8333333333333335,2.0,0.5
-2,1,11,19,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,33,17.280375,19.6055,114.0,3.375,1.625,0.5
-3,2,12,23,0,0,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,16,14.7322,14.02,118.2,4.4,1.4,0.6
2,1,16,25,0,0,3,0,1,0,2,0,2,1,2,0,0,0,0,0,0,0,20,12.696166666666668,18.487333333333332,120.97202797202799,3.3333333333333335,1.6666666666666667,0.5
-4,2,16,29,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18,14.5875,16.30425,118.0,4.25,1.75,0.25
3,1,20,30,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,16,18.75,18.5148,122.4,3.6,1.6,0.0
2,2,26,34,0,0,1,2,0,1,1,4,0,4,0,2,2,0,1,0,1,0,46,19.856699999999996,18.9156,105.43425414364643,3.0,1.8,0.4
-2,1,29,39,0,0,2,1,1,0,3,0,2,1,1,1,0,1,0,1,0,0,57,28.3795,29.630125,111.72902097902099,2.375,1.75,0.25
-2,2,32,44,0,0,0,1,0,0,2,1,1,2,0,1,1,0,0,0,1,0,51,29.3995,24.049625,110.0,3.625,1.625,0.5
2,1,38,48,0,0,2,1,0,0,1,2,2,1,2,1,0,0,0,0,0,0,46,18.055500000000002,21.2643,120.8,3.0,1.7,0.4
-2,2,40,52,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,20.63533333333333,23.015333333333334,106.83333333333333,3.0,1.6666666666666667,0.8333333333333334
4,1,44,52,1,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,22,24.62675,25.88575,114.25,3.25,1.75,0.0
-3,2,45,56,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28,22.5428,18.883,97.8,2.8,2.0,0.4
3,1,49,57,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,12.5976,14.053,114.2,4.4,1.6,0.2
-2,2,52,62,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,47,27.46275,22.020875,113.0,3.375,1.875,0.25
3,1,56,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,17.6642,21.919999999999998,115.0,3.2,1.6,0.6
-2,2,58,67,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,16,21.706666666666667,11.271833333333333,117.05709023941068,3.8333333333333335,1.6666666666666667,0.6666666666666666
2,0,66,73,1,0,4,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,61,18.395928571428566,16.969214285714287,116.21428571428571,4.0,1.5714285714285714,0.42857142857142855
2,2,71,76,0,1,2,1,0,0,2,2,1,1,1,0,2,0,1,0,1,0,49,27.000125,22.990125,108.5,4.0,1.5,0.375
2,1,75,78,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,28,21.706000000000003,23.003333333333334,111.0,2.3333333333333335,1.8333333333333333,0.5
-2,2,77,82,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,36,25.79133333333333,19.903833333333335,114.16666666666667,3.8333333333333335,1.6666666666666667,0.5
2,1,82,85,0,0,2,0,0,0,3,2,3,0,1,0,0,2,0,0,0,2,41,18.2485,24.157375,110.375,3.25,1.875,0.125
2,2,99,100,0,0,2,5,0,1,2,10,1,8,1,5,7,0,1,0,6,0,165,22.44525,18.5835,109.0419544198895,3.34375,1.78125,0.21875
3,1,103,101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10.479,11.1048,118.8,3.2,1.6,0.6
3,2,107,102,0,0,3,0,0,0,0,1,0,4,0,1,2,0,1,0,1,0,13,8.9252,8.0574,115.4,2.8,1.8,0.2
2,1,111,104,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,16,14.902833333333335,18.444166666666664,121.63869463869464,3.1666666666666665,1.6666666666666667,0.0
-2,2,114,109,0,0,2,1,0,0,0,0,0,2,0,2,2,0,0,0,2,0,37,37.55475,17.4895,111.875,3.75,1.625,0.25
2,1,121,114,2,0,5,1,2,0,2,1,4,0,3,0,0,0,0,0,0,0,47,15.183416666666666,13.840416666666668,112.05536130536132,3.3333333333333335,1.5,0.4166666666666667
-2,2,124,119,0,0,2,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,51,29.66875,23.382125,107.75,2.375,1.75,0.375
-2,1,128,125,0,0,1,1,0,0,2,2,4,1,2,1,0,3,0,1,0,2,42,17.406800000000004,20.9935,113.8,2.3,1.8,0.3
-2,2,130,129,0,0,2,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,32,25.806833333333334,19.369333333333334,112.16666666666667,3.3333333333333335,1.8333333333333333,0.5
3,1,134,130,1,0,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,18,10.615,13.872199999999998,113.2,2.6,1.6,0.2
-4,2,134,134,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,16,20.801,15.389000000000001,109.75,3.75,1.5,0.25
-3,1,135,138,0,0,0,1,2,0,2,0,0,0,0,0,0,2,0,1,0,1,7,7.5284,12.132200000000001,116.93286713286713,3.8,1.4,0.0
-2,2,139,144,0,0,4,0,0,0,2,0,3,2,1,0,1,0,0,0,1,0,44,18.279200000000003,14.887200000000002,109.0,2.9,1.8,0.2
2,1,144,147,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,49,25.549875,29.799124999999997,106.375,2.5,1.875,0.125
2,2,148,149,0,0,3,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,38,26.16483333333333,20.002,115.33333333333333,4.0,1.6666666666666667,0.3333333333333333
4,1,152,149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.28575,5.481749999999999,116.5,4.0,1.75,0.25
-3,2,153,153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10.6756,6.1162,115.0,3.0,1.6,0.6
2,1,157,155,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,14,10.752666666666668,12.387166666666666,115.0,2.5,1.8333333333333333,0.3333333333333333
-2,2,159,159,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,24,18.016333333333332,12.961833333333331,115.66666666666667,3.8333333333333335,1.5,0.3333333333333333
3,1,163,160,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,10.968399999999999,18.6668,104.4,3.8,1.4,0.8
-3,2,164,164,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,13.818800000000001,8.7854,110.2,4.2,1.8,0.4
2,1,168,166,0,0,2,1,0,0,1,0,2,1,2,0,0,0,0,0,0,0,26,16.585166666666666,23.878666666666664,124.5,4.166666666666667,2.0,0.5
