p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_break_pt,p2_break_pt,speed_mph
0.4,0.6,0,0,0.1,0.1,0,0,0.166666667,0.25,0,0.5,0,0,127
0.333333333,0.666666667,0,0,0.166666667,0.166666667,0,0,0.5,0,0,0,0,0.333333333,128
0.333333333,0.666666667,0,0.166666667,0,0.166666667,0,0,0.25,0.5,0,1,0,0,122
0.375,0.625,0,0,0.125,0,0,0,0.2,0,0,0,0,0.333333333,128
0.2,0.8,0,0,0.2,0.2,0,0,0.5,0,0,0.5,0,0,126
0.666666667,0.333333333,0,0,0.5,0,0.166666667,0,1,0,1,0,0,0,131
0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,125
0.8,0.2,0,0,0,0,0,0,0,0,1,1,0,0,129
0.6,0.4,0,0,0.1,0.2,0,0.1,0.25,0.666666667,0,0.5,0.5,0,118
0.375,0.625,0,0,0.25,0.125,0.125,0,0.6,0,0.5,1,0,1,125
0.375,0.625,0,0,0,0.125,0,0,0.4,0.333333333,0,0.5,0,0,122
0.6,0.4,0,0,0.2,0.1,0,0,0.25,0.333333333,1,1,0,0,132
0.333333333,0.666666667,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,124
1,0,0.25,0,1,0,0,0,0,0,1,0,0,0,129
0.2,0.8,0,0,0,0.2,0,0,0.25,0,0,0,0,0,115
0.8,0.2,0.2,0,0.4,0,0,0,1,0,0,0,0,0,124
0.375,0.625,0,0,0,0,0,0,0.6,0.333333333,0,1,0,0,125
0.8,0.2,0,0,0,0,0,0,1,0,0,0,0,0,132
0.333333333,0.666666667,0,0,0,0.166666667,0,0.166666667,0,1,0,0,0,0,123
0.571428571,0.428571429,0.142857143,0,0.285714286,0.071428571,0,0,0.166666667,0.375,0,0,0,0,128
0.625,0.375,0,0.125,0.25,0.125,0,0,0.666666667,0.4,1,0,0.5,0,125
0.666666667,0.333333333,0,0,0,0,0,0,1,0.25,0,0,0,0,126
0.333333333,0.666666667,0,0,0.166666667,0,0,0,0,0.5,1,1,0,0,120
0.625,0.375,0,0,0.25,0,0,0,1,0.4,0.333333333,0,0,0,128
0.53125,0.46875,0,0,0.0625,0.15625,0,0.03125,0.133333333,0.588235294,1,0.625,0.142857143,0,123
0.8,0.2,0,0,0,0,0,0,0,0.25,0,0,0,0,129
0.8,0.2,0,0,0.6,0,0,0,0,0.25,0,0.25,0.5,0,121
0.666666667,0.333333333,0,0,0,0,0.166666667,0,0.5,0,1,0,0,0,130
0.375,0.625,0,0,0.25,0.125,0,0,0,0,0,1,0,0,124
0.583333333,0.416666667,0.166666667,0,0.416666667,0.083333333,0.166666667,0,0.4,0.142857143,0.75,0,0,0,130
0.375,0.625,0,0,0.25,0.25,0,0,0,0,0,0.6,0,0,121
0.4,0.6,0,0,0.1,0.1,0,0,0.333333333,0.5,0.5,1,0,0.333333333,130
0.333333333,0.666666667,0,0,0.333333333,0.166666667,0,0,0.25,0,0,1,0,0,123
0.8,0.2,0.2,0,0.4,0.2,0,0,0,0.25,0,1,0,0,125
0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,122
0.2,0.8,0,0,0,0.2,0.4,0,0.5,0,0,0,0,0.5,128
0.4,0.6,0,0,0.4,0,0,0,0.333333333,0,0.333333333,0,0,0,126
0.625,0.375,0,0,0.375,0,0,0,0.333333333,0,0,0,0,0,122
0.666666667,0.333333333,0,0,0.5,0,0,0,0,0.25,1,0,1,0,125
1,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,123
0.2,0.8,0,0,0,0,0,0,0,1,0,0,0,0,124
0.666666667,0.333333333,0.166666667,0,0.166666667,0,0,0,0,0.25,1,1,0,0,128
0.333333333,0.666666667,0,0,0.333333333,0.166666667,0,0,0,0,0,0.5,0,0,124
0.8,0.2,0.2,0,0.4,0,0,0,1,0,0,0,0,0,115
0.2,0.8,0,0,0,0.2,0,0,0,0,0,1,0,0,123
0.666666667,0.333333333,0,0,0.333333333,0.166666667,0,0,0.5,0,1,0,0,0,130
